"study_id","assay","dose_description","schedule","vaccine","serotype","value","lower_limit","upper_limit","phase","sponsor","location","n_reads"
"NCT00366340","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","19F",1.73,1.56,1.92,"Phase 3","Pfizer","Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe",1
"NCT00366340","GMC","1m post primary child","3+1 child","PCV7","19F",2.86,2.53,3.24,"Phase 3","Pfizer","Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe",1
"NCT00452790","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","19F",2.25,1.97,2.56,"Phase 3","Pfizer","Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia",1
"NCT00452790","GMC","1m post primary child","3+1 child","PCV7","19F",2.47,2.11,2.89,"Phase 3","Pfizer","Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia",1
"NCT00688870","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","19F",3.6,3,4.32,"Phase 3","Pfizer","Asia,Asia",1
"NCT00688870","GMC","1m post primary child","3+1 child","PCV7","19F",4.77,4.17,5.47,"Phase 3","Pfizer","Asia,Asia",1
"NCT00689351","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","19F",3.88,3.18,4.72,"Phase 2","Pfizer",",,,,,",1
"NCT00689351","GMC","1m post primary child","3+1 child","PCV7","19F",4.2,3.55,4.96,"Phase 2","Pfizer",",,,,,",1
"NCT00205803","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","23F",1.39,0,0,"Phase 1, Phase 2","Pfizer","North America",1
"NCT00205803","GMC","1m post primary child","3+1 child","PCV7","23F",1.81,0,0,"Phase 1, Phase 2","Pfizer","North America",1
"NCT00366340","GMC","1m post primary child","3+1 child","PCV13 (Pfizer)","23F",1.26,1.11,1.43,"Phase 3","Pfizer","Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe,Europe",1
